crop_name,soil_type,crop_age_days,day_of_year,temperature_C,humidity_%,rainfall_mm,effective_rainfall_mm,solar_radiation_MJ_m2_day,wind_speed_m_s,field_capacity_%,wilting_point_%,soil_moisture_%,reference_evapotranspiration_ET0_mm_day,crop_coefficient_Kc,application_efficiency_%,root_zone_depth_m,available_water_content_mm_per_m,irrigation_interval_days,p_fraction,irrigate,irrigation_amount_m3
Tomato,Sandy Loam,127,157,27.74,66.18,0.38,0.21,19.75,3.15,22.76,10.55,14.63,5.934,0.912,73.61,1.151,140.54,2,0.373,1,254.25
Tomato,Sandy Loam,103,152,29.78,70.67,0.03,0.02,22.08,1.32,22.67,9.01,18.71,5.803,1.15,55.0,1.065,145.48,4,0.419,1,306.72
Potato,Loam,43,122,17.88,68.06,1.41,0.75,23.42,3.98,29.41,14.28,21.46,5.135,0.89,86.02,0.448,67.78,7,0.386,1,289.83
Grape,Sandy,218,185,36.93,54.04,0.0,0.0,24.9,4.15,16.78,8.48,9.48,9.816,0.597,76.88,0.867,71.96,5,0.456,1,411.62
Tomato,Sandy Loam,102,92,17.79,73.23,0.47,0.29,16.15,1.94,23.12,9.76,16.68,3.562,1.15,66.73,0.98,130.93,3,0.404,1,283.73
Potato,Silt Loam,124,167,25.12,63.03,0.05,0.03,19.5,4.16,34.57,13.04,25.58,6.052,0.83,78.42,0.525,113.03,5,0.384,1,300.93
Tomato,Sandy Loam,23,299,16.98,78.38,3.75,1.96,11.01,0.79,24.31,10.16,16.99,2.292,0.6,73.27,1.274,180.27,2,0.414,1,254.56
Tomato,Sandy Loam,41,283,15.82,75.7,7.23,5.56,17.06,1.98,21.12,9.62,16.37,3.443,0.751,65.7,0.705,81.08,10,0.437,0,0.0
Tomato,Sandy Loam,68,259,27.13,66.05,1.84,1.47,19.31,4.34,24.68,10.51,19.35,6.137,1.123,73.23,1.109,157.15,13,0.427,1,1049.33
Tomato,Sandy Loam,25,331,15.37,79.91,1.77,0.89,7.15,1.54,22.61,10.17,22.11,1.629,0.6,67.2,1.061,131.99,1,0.372,0,0.0
Grape,Sandy,147,135,30.05,59.73,0.08,0.06,21.17,4.46,19.02,8.23,9.23,7.53,0.85,77.03,0.554,59.78,8,0.524,1,563.28
Apple,Silty Loam,170,341,5.65,79.1,1.71,1.07,10.09,2.12,36.26,13.75,24.8,1.567,1.2,66.76,1.697,381.99,13,0.505,1,3786.98
Tomato,Sandy Loam,1,303,12.46,76.09,2.93,1.72,10.99,4.15,23.74,10.54,16.54,2.409,0.6,58.55,1.413,186.52,9,0.41,1,1563.83
Potato,Silt Loam,11,57,11.67,75.45,1.98,1.3,13.23,2.19,34.42,13.5,23.73,2.51,0.5,84.84,0.577,120.71,4,0.371,1,290.81
Potato,Silt Loam,113,236,35.16,45.83,0.0,0.0,17.76,3.87,34.84,13.21,23.9,8.592,0.977,56.19,0.526,113.77,6,0.362,1,614.46
Grape,Sandy Loam,240,24,13.64,76.56,3.92,3.1,8.82,4.05,23.63,9.08,21.24,2.221,0.45,75.57,0.933,135.75,3,0.483,0,0.0
Apple,Loam,104,355,7.97,66.46,4.27,2.46,10.41,3.4,29.94,14.21,20.87,2.257,1.2,68.85,1.957,307.84,7,0.538,1,1804.65
Potato,Loam,84,80,7.11,64.4,0.82,0.56,14.68,0.78,32.02,14.73,18.12,2.407,1.15,65.97,0.406,70.2,10,0.352,1,855.45
Potato,Loam,39,40,7.17,79.2,5.13,3.98,9.68,3.05,29.73,13.95,26.99,1.652,0.803,70.76,0.546,86.16,7,0.383,0,0.0
Apple,Clay Loam,52,222,23.36,65.45,0.3,0.2,19.6,1.35,34.13,22.84,24.72,4.857,0.78,62.35,1.47,165.96,9,0.533,1,1996.7
Potato,Loam,81,296,15.77,71.94,1.0,0.77,17.15,4.24,32.22,13.03,28.35,3.765,1.15,65.46,0.507,97.29,5,0.392,1,149.87
Apple,Loam,21,158,24.2,31.45,0.06,0.04,20.31,2.57,29.93,13.71,28.26,7.197,0.45,56.37,1.49,241.68,2,0.535,0,0.0
Tomato,Clay Loam,48,19,10.99,71.37,2.77,1.84,7.36,3.44,36.61,22.5,35.58,1.993,0.847,59.01,0.707,99.76,9,0.374,0,0.0
Tomato,Sandy Loam,52,110,17.84,71.47,1.43,1.05,22.38,2.91,22.02,9.46,20.47,4.732,0.902,61.45,1.485,186.52,8,0.35,0,0.0
Potato,Sandy Loam,30,206,30.94,51.79,0.19,0.12,19.88,2.71,22.53,10.07,18.93,7.076,0.608,57.32,0.472,58.81,4,0.387,1,118.58
Apple,Loam,146,329,5.53,86.25,4.12,2.5,10.68,3.54,32.32,14.24,23.29,1.416,1.2,56.09,1.682,304.11,4,0.538,0,0.0
Tomato,Sandy Loam,111,78,8.27,83.74,0.31,0.21,15.75,1.63,23.07,9.01,19.0,2.355,1.136,85.49,1.077,151.43,10,0.377,0,0.0
Potato,Loam,27,55,13.27,81.9,1.29,0.8,14.2,4.44,32.35,13.39,24.01,2.573,0.543,75.24,0.426,80.77,2,0.393,1,94.44
Apple,Clay Loam,32,140,17.82,54.17,0.84,0.65,20.24,1.61,35.91,22.13,35.41,4.789,0.48,62.47,1.084,149.38,11,0.532,0,0.0
Potato,Silt Loam,29,334,8.98,82.78,0.2,0.15,5.51,3.18,32.95,12.31,22.81,1.188,0.587,60.09,0.452,93.29,10,0.366,1,762.74
Apple,Loam,104,208,30.57,48.05,0.04,0.02,26.76,0.51,29.59,14.42,20.78,6.996,1.2,69.89,1.051,159.44,2,0.541,1,264.97
Tomato,Loam,55,293,15.44,67.39,2.46,1.35,13.68,1.12,30.3,14.28,16.46,2.938,0.944,72.51,0.912,146.1,3,0.441,1,522.22
Tomato,Clay Loam,70,260,29.95,61.5,0.83,0.58,15.44,1.03,36.79,22.66,32.18,4.433,1.15,60.25,0.662,93.54,8,0.36,1,405.22
Potato,Silt Loam,110,241,21.76,60.75,0.77,0.55,14.69,1.94,33.58,13.37,28.16,4.136,1.017,84.5,0.41,82.86,8,0.359,1,210.39
Tomato,Loam,106,135,22.16,74.97,0.01,0.01,21.06,1.3,31.82,14.56,24.44,4.751,1.15,78.39,0.959,165.52,9,0.361,1,812.56
Tomato,Sandy Loam,73,203,27.44,66.05,0.02,0.02,22.09,3.45,24.0,9.93,18.62,6.438,1.15,59.16,0.868,122.13,7,0.425,1,552.55
Potato,Silt Loam,64,48,10.33,76.9,3.03,1.93,8.06,2.11,32.58,13.44,26.35,1.664,1.15,75.56,0.444,84.98,5,0.355,0,0.0
Tomato,Clay Loam,113,142,20.93,64.61,0.63,0.35,19.62,2.97,37.88,21.92,37.38,5.059,1.108,87.56,0.827,131.99,11,0.389,1,207.79
Apple,Silty Loam,149,78,10.2,71.07,0.13,0.07,11.91,3.8,33.89,13.8,24.66,2.498,1.2,89.95,1.414,284.07,8,0.563,0,0.0
Tomato,Sandy Loam,46,224,28.22,58.27,0.01,0.01,23.06,2.13,21.36,10.44,18.11,6.69,0.82,79.37,0.962,105.05,7,0.365,1,275.74
Potato,Loam,120,234,23.85,57.31,0.03,0.02,26.43,4.22,29.81,14.31,27.35,7.434,0.883,63.34,0.467,72.38,8,0.393,1,145.1
Tomato,Clay Loam,102,171,26.56,68.18,0.22,0.14,21.63,2.46,34.4,21.1,26.64,5.828,1.15,56.81,1.141,151.75,9,0.383,1,1402.7
Apple,Clay Loam,111,252,32.94,71.8,0.27,0.14,18.3,2.7,37.26,21.64,34.72,5.684,1.2,70.09,1.749,273.19,4,0.5,1,253.53
Tomato,Loam,114,198,30.3,55.72,0.03,0.02,21.91,1.73,32.28,13.51,29.0,6.57,1.094,69.06,1.245,233.69,6,0.429,1,354.79
Tomato,Clay Loam,80,11,10.43,75.79,3.35,2.66,9.19,2.74,34.59,21.83,34.09,1.92,1.15,77.43,0.931,118.8,5,0.417,0,0.0
Apple,Loam,81,35,10.58,69.38,1.07,0.75,9.65,0.75,29.75,13.98,26.2,1.826,1.2,71.53,1.367,215.58,9,0.59,0,0.0
Tomato,Sandy Loam,18,183,26.83,49.07,0.0,0.0,20.55,1.8,23.61,10.3,17.85,6.213,0.6,62.23,1.278,170.1,8,0.352,1,946.33
Apple,Clay Loam,163,113,16.02,62.82,1.47,1.05,17.31,1.17,37.26,22.57,25.21,3.725,1.2,83.05,1.78,261.48,12,0.583,1,3099.19
Tomato,Clay Loam,8,145,21.52,67.97,0.26,0.16,18.21,4.07,36.18,22.23,35.68,4.933,0.6,75.29,1.032,143.96,3,0.387,0,0.0
Tomato,Loam,98,79,17.32,79.4,5.22,3.82,13.03,3.46,29.06,14.94,18.68,2.907,1.15,81.3,1.216,171.7,4,0.424,1,621.01
Apple,Clay Loam,142,259,20.52,52.36,0.4,0.29,20.29,1.38,37.74,22.92,28.22,5.072,1.2,60.39,1.733,256.83,2,0.565,1,546.39
Grape,Sandy,185,204,34.46,34.04,0.0,0.0,24.5,2.34,16.0,8.05,10.9,9.308,0.817,74.87,0.987,78.47,6,0.494,1,403.4
Potato,Sandy Loam,68,128,21.19,63.36,0.1,0.06,20.41,0.65,21.06,9.61,13.98,4.625,1.15,64.65,0.513,58.74,10,0.399,1,561.8
Potato,Loam,11,121,15.38,64.98,0.72,0.55,19.5,3.27,30.69,13.13,25.3,4.299,0.5,61.52,0.541,95.0,8,0.394,0,0.0
Grape,Sandy Loam,170,274,24.48,69.03,0.01,0.0,16.64,3.7,23.02,10.04,11.68,4.918,0.85,56.77,0.946,122.79,2,0.547,1,377.93
Apple,Silty Loam,53,149,19.85,70.25,0.12,0.06,23.86,4.22,35.53,14.11,32.24,5.401,0.795,66.37,1.431,306.52,1,0.542,1,70.94
Apple,Loam,153,319,20.53,81.46,2.14,1.44,7.81,1.34,32.36,13.31,27.6,1.9,1.2,80.13,1.407,268.03,6,0.534,0,0.0
Apple,Silty Loam,77,319,13.71,70.49,1.37,0.71,7.97,1.83,34.84,13.79,26.55,1.991,1.155,58.0,1.246,262.28,3,0.5,0,0.0
Apple,Clay Loam,153,195,34.53,38.27,0.12,0.07,26.69,2.54,36.38,21.85,33.28,9.767,1.2,76.56,1.726,250.79,8,0.592,1,559.1
Potato,Sandy Loam,28,201,28.67,44.42,0.3,0.21,21.16,3.5,22.24,10.65,12.77,8.029,0.565,67.62,0.501,58.07,7,0.361,1,491.15
Grape,Loam,205,335,11.37,73.65,1.33,0.86,15.05,3.28,30.8,13.65,23.22,2.843,0.683,63.63,0.907,155.55,8,0.466,0,0.0
Potato,Loam,110,347,7.57,79.83,13.47,9.56,6.13,3.84,32.07,14.72,24.12,1.331,1.017,85.44,0.47,81.55,2,0.365,1,87.46
Apple,Clay Loam,183,144,29.27,46.67,1.26,0.77,16.96,3.2,34.62,21.04,25.06,6.937,1.005,59.69,1.1,149.38,3,0.524,1,528.53
Grape,Sandy Loam,186,25,8.83,89.24,0.48,0.28,10.71,2.84,21.28,9.25,14.37,1.546,0.81,59.69,0.722,86.86,8,0.47,1,668.66
Potato,Loam,59,256,26.87,57.65,0.02,0.01,20.57,2.56,32.54,14.58,25.25,6.261,1.15,79.41,0.422,75.79,5,0.374,1,193.7
Apple,Clay Loam,78,173,19.14,45.25,0.31,0.24,26.08,1.87,37.49,22.54,31.82,6.383,1.17,71.18,1.041,155.63,13,0.597,1,1078.0
Grape,Sandy Loam,22,46,18.26,63.36,0.32,0.23,9.78,2.31,22.49,10.44,18.96,2.998,0.328,64.34,0.99,119.29,2,0.456,0,0.0
Grape,Sandy,139,258,29.01,49.68,0.48,0.34,20.36,2.76,18.96,7.19,9.72,7.078,0.85,69.27,0.987,116.17,11,0.475,1,1448.23
Potato,Sandy Loam,7,327,9.64,79.36,0.38,0.26,10.69,1.7,23.08,9.89,15.47,1.875,0.5,79.63,0.57,75.18,10,0.379,1,544.73
Potato,Loam,14,252,23.79,72.83,0.88,0.62,14.53,2.42,30.69,14.12,22.15,3.936,0.5,73.31,0.475,78.71,2,0.388,1,110.67
Apple,Silty Loam,137,88,1.72,65.56,1.21,0.7,10.01,0.63,34.77,13.09,33.73,1.393,1.2,88.23,1.895,410.84,11,0.542,0,0.0
Potato,Sandy Loam,39,290,18.08,59.13,3.58,2.58,13.75,1.9,24.45,9.05,17.38,3.653,0.803,57.91,0.592,91.17,7,0.385,1,505.92
Apple,Loam,14,73,7.45,47.34,3.63,2.43,12.26,1.0,32.16,13.98,26.49,2.366,0.45,64.84,1.026,186.53,8,0.596,0,0.0
Grape,Sandy Loam,60,164,33.25,39.66,0.08,0.05,23.11,3.58,24.37,10.63,15.85,9.674,0.85,61.1,0.905,124.35,2,0.458,1,252.39
Apple,Silty Loam,120,125,15.38,59.15,0.45,0.3,21.19,4.15,33.63,14.0,29.52,4.937,1.2,85.39,1.041,204.35,1,0.573,1,50.11
Grape,Sandy,160,345,20.7,60.16,0.3,0.23,7.62,0.51,17.79,8.24,9.24,1.926,0.85,89.37,0.583,55.68,1,0.514,1,55.78
Potato,Sandy Loam,126,265,24.66,65.7,0.1,0.07,16.76,3.81,23.04,9.75,11.34,5.221,0.803,80.69,0.46,61.13,8,0.396,1,533.6
Potato,Sandy Loam,13,131,18.16,75.6,1.37,1.06,23.07,1.86,24.02,9.7,14.7,4.695,0.5,80.92,0.481,68.88,3,0.367,1,166.2
Tomato,Clay Loam,106,277,25.59,80.05,1.15,0.83,14.43,1.32,36.44,21.54,33.17,3.531,1.15,75.96,0.915,136.34,2,0.382,0,0.0
Grape,Sandy,19,120,22.7,60.53,0.07,0.04,24.71,3.51,16.19,7.11,10.63,6.54,0.3,66.89,0.62,56.3,1,0.508,1,51.54
Tomato,Sandy Loam,15,81,17.65,66.91,0.19,0.14,15.92,2.86,24.22,10.07,23.72,3.914,0.6,56.81,0.777,109.95,3,0.368,0,0.0
Tomato,Clay Loam,91,118,16.38,76.05,0.24,0.17,18.45,1.81,34.99,22.34,29.78,3.703,1.15,78.62,0.629,79.57,12,0.378,1,500.19
Potato,Sandy Loam,46,41,18.91,69.68,2.51,1.65,12.93,1.17,21.78,10.89,20.53,3.024,0.955,73.77,0.434,47.26,8,0.357,0,0.0
Apple,Silty Loam,49,217,29.99,36.2,0.09,0.06,21.02,1.54,35.19,14.73,27.65,6.954,0.735,73.49,1.287,263.32,9,0.511,1,1188.4
Apple,Clay Loam,108,300,20.4,66.94,2.74,1.85,12.44,0.7,34.21,22.14,30.56,2.908,1.2,76.23,1.689,203.86,1,0.528,0,0.0
Tomato,Loam,98,209,28.55,43.27,0.11,0.07,19.77,3.42,30.25,14.94,27.5,7.77,1.15,71.24,1.233,188.77,8,0.372,1,380.77
Potato,Sandy Loam,91,267,26.05,59.81,1.02,0.75,20.49,3.83,24.29,10.26,23.79,6.509,1.15,65.49,0.476,66.78,6,0.363,1,87.22
Potato,Silt Loam,27,95,18.99,50.06,1.32,0.89,13.67,1.36,31.12,13.76,22.86,3.734,0.543,55.5,0.545,94.61,12,0.365,1,973.34
Grape,Loam,126,300,25.35,58.43,0.16,0.13,15.18,0.77,29.58,13.93,29.08,3.969,0.85,63.77,0.721,112.84,1,0.464,0,0.0
Grape,Loam,37,143,25.97,44.68,0.4,0.3,28.96,3.29,30.76,14.03,22.76,8.841,0.534,69.81,0.709,118.62,11,0.48,1,893.74
Potato,Sandy Loam,65,58,13.37,70.64,6.79,3.51,9.68,4.37,22.75,10.51,22.25,2.643,1.15,80.63,0.577,70.62,1,0.353,0,0.0
Apple,Loam,92,205,32.44,44.78,0.31,0.2,25.02,3.36,31.81,14.38,25.77,9.332,1.2,86.09,1.69,294.57,13,0.56,1,1541.4
Grape,Loam,25,102,16.85,52.02,0.29,0.19,16.54,1.45,32.82,14.46,24.06,4.033,0.369,77.42,0.621,114.02,11,0.507,0,0.0
Apple,Clay Loam,130,315,4.82,67.45,0.06,0.03,4.77,1.91,37.39,22.26,31.76,1.16,1.2,83.61,1.774,268.41,2,0.504,0,0.0
Grape,Sandy,91,127,27.17,58.02,0.79,0.43,24.48,4.17,19.19,7.22,9.67,7.664,0.85,67.57,0.69,82.59,4,0.547,1,388.86
Apple,Clay Loam,118,138,20.31,47.3,0.44,0.23,14.92,4.47,37.63,21.74,34.74,5.764,1.2,85.6,1.818,288.88,12,0.55,1,736.54
Tomato,Sandy Loam,22,226,30.21,64.68,0.2,0.15,23.58,1.54,24.73,10.81,17.97,6.471,0.6,60.91,1.139,158.55,12,0.362,1,1516.92
Potato,Loam,111,49,9.76,75.57,1.22,0.94,15.86,0.83,30.93,14.49,30.43,2.67,1.003,70.87,0.402,66.09,8,0.356,0,0.0
Tomato,Clay Loam,8,230,31.03,67.73,0.01,0.0,18.47,3.53,37.36,21.12,30.4,6.111,0.6,79.01,1.116,181.24,12,0.448,1,1179.7
Apple,Clay Loam,129,341,0.81,81.35,0.56,0.37,7.47,3.25,35.7,21.01,34.98,1.011,1.2,56.21,1.811,266.04,3,0.566,0,0.0
Potato,Sandy Loam,119,138,20.4,52.0,0.12,0.09,19.25,1.99,21.2,10.22,11.22,5.166,0.897,63.18,0.556,61.05,9,0.385,1,790.44
Grape,Sandy Loam,190,283,25.24,53.13,2.03,1.25,14.85,3.84,23.82,10.58,14.66,5.88,0.783,83.07,0.725,95.99,7,0.534,1,559.61
Tomato,Loam,17,351,14.26,87.19,4.65,3.13,12.4,0.75,32.25,13.62,30.37,2.265,0.6,59.81,1.284,239.21,11,0.377,0,0.0
Tomato,Clay Loam,126,45,16.78,90.7,0.41,0.29,10.66,4.42,35.58,21.64,26.81,1.915,0.926,87.74,1.109,154.59,7,0.41,1,775.95
Tomato,Clay Loam,25,282,19.52,77.75,0.52,0.36,19.04,4.44,36.84,22.68,35.17,4.162,0.6,89.51,0.605,85.67,2,0.351,0,0.0
Tomato,Sandy Loam,43,37,10.85,89.27,2.09,1.47,4.47,4.14,21.52,10.28,18.88,0.936,0.779,57.51,0.709,79.69,1,0.379,0,0.0
Apple,Loam,184,257,19.0,61.18,0.26,0.14,21.35,1.6,30.04,13.61,21.19,4.919,0.99,67.86,1.941,318.91,1,0.598,1,253.14
Potato,Silt Loam,110,284,19.32,68.75,2.36,1.41,11.87,1.94,32.34,12.36,24.26,3.116,1.017,70.33,0.504,100.7,10,0.382,1,579.03
Potato,Silt Loam,120,350,4.75,82.89,2.2,1.73,9.24,4.07,34.02,12.35,20.85,1.346,0.883,88.19,0.469,101.63,4,0.394,1,280.16
Grape,Sandy,215,174,28.81,39.3,0.13,0.09,22.73,4.02,19.9,8.13,13.66,9.109,0.617,69.81,0.81,95.34,2,0.493,1,144.8
Grape,Loam,72,282,20.5,69.36,0.66,0.42,13.35,3.45,31.28,13.07,30.78,3.828,0.85,56.46,0.506,92.14,5,0.546,0,0.0
Apple,Loam,46,330,8.0,83.64,0.18,0.11,5.61,0.6,30.91,14.26,22.22,0.919,0.69,82.72,1.096,182.48,8,0.523,0,0.0
Potato,Sandy Loam,119,341,6.52,75.05,3.21,1.9,3.49,0.67,21.88,9.81,18.22,0.663,0.897,56.24,0.536,64.7,12,0.386,0,0.0
Potato,Silt Loam,25,34,8.16,67.16,8.6,4.75,11.18,1.26,31.3,13.97,21.47,2.04,0.5,62.96,0.508,88.04,6,0.358,1,475.89
Potato,Loam,86,266,21.64,63.44,0.01,0.0,18.19,2.37,31.99,14.12,22.23,4.802,1.15,64.67,0.439,78.45,13,0.383,1,861.3
Potato,Loam,87,118,14.9,61.6,3.35,2.16,19.7,2.81,31.76,14.42,17.22,4.346,1.15,65.91,0.439,76.12,5,0.352,1,484.23
Potato,Loam,61,47,9.07,78.3,0.91,0.7,11.27,1.91,32.08,13.45,30.65,1.95,1.15,87.67,0.407,75.82,3,0.396,0,0.0
Grape,Sandy Loam,169,166,21.7,38.75,0.24,0.15,19.57,3.38,23.45,9.68,17.34,6.78,0.85,85.37,0.584,80.42,10,0.484,1,417.97
Apple,Loam,36,74,10.06,73.85,0.89,0.48,13.01,1.12,29.83,13.84,24.14,2.304,0.54,61.95,1.524,243.69,12,0.569,0,0.0
Potato,Sandy Loam,22,10,7.38,78.22,5.48,3.22,8.69,1.94,21.87,10.23,18.11,1.52,0.5,66.3,0.562,65.42,2,0.388,0,0.0
Tomato,Loam,91,106,17.29,69.28,0.68,0.41,16.58,2.1,31.5,14.6,18.74,3.746,1.15,86.64,1.168,197.39,2,0.442,1,344.04
Grape,Sandy,182,219,39.91,36.95,0.05,0.03,23.49,0.62,17.62,7.85,9.05,7.157,0.837,73.23,0.665,64.97,12,0.471,1,933.89
Apple,Silty Loam,124,328,19.09,71.1,1.94,1.17,5.67,1.32,34.28,14.34,25.26,1.701,1.2,78.08,1.972,393.22,1,0.593,0,0.0
Grape,Sandy,12,152,35.72,48.65,0.28,0.18,23.18,4.43,19.79,8.7,9.7,9.987,0.3,69.12,0.598,66.32,9,0.46,1,785.65
Potato,Sandy Loam,38,55,13.94,91.53,1.28,0.75,11.93,0.81,21.71,10.61,14.21,2.1,0.782,73.59,0.534,59.27,2,0.373,1,108.85
Tomato,Clay Loam,106,19,4.46,78.24,0.61,0.47,8.8,2.3,35.38,22.39,33.21,1.381,1.15,60.99,1.16,150.68,11,0.355,0,0.0
Tomato,Loam,88,348,11.86,78.31,3.06,1.82,7.64,1.02,30.89,13.17,24.34,1.498,1.15,69.83,0.518,91.79,13,0.369,1,631.64
Grape,Loam,33,322,19.72,70.75,1.66,1.19,10.15,1.61,32.55,14.06,28.8,2.671,0.479,59.93,0.662,122.4,11,0.503,0,0.0
Potato,Sandy Loam,16,230,29.87,55.31,0.02,0.01,15.09,3.2,21.58,10.14,17.72,6.049,0.5,61.05,0.557,63.72,2,0.372,0,0.0
Apple,Clay Loam,10,68,10.27,79.96,1.89,1.04,11.09,4.32,35.85,21.89,28.33,2.049,0.45,72.32,1.548,216.1,1,0.599,0,0.0
Tomato,Loam,71,347,11.37,70.33,8.86,5.23,12.02,3.87,31.88,14.16,25.04,2.668,1.15,67.58,0.701,124.22,3,0.415,0,0.0
Potato,Loam,46,191,28.26,52.99,0.23,0.16,24.68,2.9,31.21,14.04,25.13,7.707,0.955,66.54,0.507,87.05,11,0.388,1,509.59
Apple,Clay Loam,80,113,10.77,83.36,0.01,0.01,20.76,2.62,35.23,22.54,30.59,3.151,1.2,73.17,1.637,207.74,1,0.525,1,103.81
Tomato,Loam,40,48,18.09,77.23,0.95,0.6,14.19,3.52,32.84,14.51,22.18,3.272,0.737,72.37,1.146,210.06,1,0.419,1,168.8
Grape,Sandy,88,291,21.57,58.82,0.62,0.44,18.04,3.59,16.79,7.8,12.54,5.385,0.85,87.92,0.598,53.76,10,0.487,1,289.07
Tomato,Sandy Loam,80,172,27.98,51.65,0.04,0.03,21.76,4.41,22.95,9.31,13.27,7.96,1.15,66.99,1.099,149.9,1,0.366,1,158.8
Potato,Silt Loam,106,135,19.53,73.35,0.36,0.21,17.17,2.17,33.79,12.96,22.1,3.933,1.07,75.43,0.595,123.94,7,0.37,1,645.48
Grape,Sandy Loam,104,208,30.85,47.67,0.0,0.0,22.31,0.94,23.31,9.26,22.81,6.364,0.85,77.72,0.737,103.55,5,0.518,1,94.83
Grape,Sandy Loam,184,199,38.68,36.19,0.0,0.0,30.0,2.92,21.34,10.9,11.9,11.73,0.823,55.45,0.919,95.94,2,0.517,1,312.91
Grape,Sandy Loam,52,165,34.78,30.05,0.14,0.1,27.88,0.79,21.87,10.5,15.4,8.281,0.74,86.84,0.814,92.55,10,0.516,1,606.47
Grape,Sandy Loam,204,322,15.38,70.46,3.74,2.44,8.23,1.63,24.68,10.43,18.19,2.082,0.69,58.98,0.741,105.59,10,0.495,0,0.0
Apple,Clay Loam,86,324,13.71,60.24,1.76,1.37,6.99,3.33,36.76,22.2,29.46,2.639,1.2,85.95,1.999,291.05,12,0.523,0,0.0
Grape,Sandy,28,306,18.8,58.44,1.57,0.98,11.97,2.6,19.49,7.63,10.35,3.726,0.41,73.21,0.95,112.67,11,0.535,1,1304.64
Apple,Clay Loam,4,25,2.82,74.95,0.36,0.22,10.01,1.21,36.43,21.69,27.02,1.42,0.45,68.89,1.038,153.0,5,0.578,1,708.93
Apple,Silty Loam,71,247,22.22,51.07,1.41,0.82,13.96,0.58,33.88,13.05,24.84,3.489,1.065,62.05,1.024,213.3,10,0.564,0,0.0
Apple,Loam,34,333,1.91,73.98,0.15,0.1,5.83,4.0,29.73,14.22,24.53,1.175,0.51,61.95,1.67,259.02,3,0.579,0,0.0
Apple,Silty Loam,9,93,18.42,57.91,0.98,0.6,20.75,3.19,33.0,13.83,29.75,5.271,0.45,83.58,1.543,295.79,1,0.56,0,0.0
Tomato,Sandy Loam,102,219,31.82,54.76,0.35,0.19,20.22,2.91,22.66,9.08,20.01,7.201,1.15,85.78,0.948,128.74,3,0.393,1,87.86
Potato,Silt Loam,52,354,10.93,79.99,3.12,1.86,4.71,2.61,34.63,12.71,26.65,1.225,1.085,58.7,0.471,103.24,9,0.378,0,0.0
Potato,Sandy Loam,51,227,33.39,63.02,0.2,0.1,22.23,4.25,22.97,10.7,18.48,7.876,1.063,72.62,0.555,68.1,5,0.357,1,171.57
Apple,Silty Loam,14,265,23.74,31.85,1.89,1.02,21.86,2.97,35.73,14.51,29.48,7.695,0.45,74.09,1.969,417.82,5,0.57,0,0.0
Grape,Loam,178,177,32.83,25.3,0.08,0.05,26.39,2.84,31.54,14.43,25.83,10.595,0.85,61.52,0.679,116.18,11,0.483,1,693.24
Potato,Sandy Loam,15,141,26.87,64.02,0.14,0.1,23.38,0.82,24.57,10.91,15.89,5.821,0.5,69.2,0.49,66.93,5,0.383,1,307.31
Potato,Silt Loam,63,218,24.23,53.0,0.21,0.13,20.36,3.83,31.71,13.94,27.4,6.669,1.15,57.38,0.514,91.34,5,0.386,1,193.04
Apple,Clay Loam,149,45,5.37,64.0,2.0,1.24,13.06,0.95,35.28,22.11,23.11,2.078,1.2,77.22,1.633,215.07,13,0.556,1,3345.73
Potato,Loam,53,40,14.52,89.6,1.15,0.69,12.79,4.45,30.5,13.19,23.41,2.092,1.107,65.91,0.439,75.99,7,0.39,1,330.57
Potato,Sandy Loam,119,108,13.33,51.69,0.41,0.33,15.27,3.49,24.86,9.09,15.56,4.093,0.897,66.1,0.435,68.6,2,0.359,1,122.41
Potato,Loam,102,205,26.77,36.67,0.11,0.08,23.65,2.38,30.15,14.6,23.12,7.844,1.123,55.61,0.505,78.53,7,0.397,1,446.88
Potato,Loam,43,295,17.04,60.79,0.32,0.2,9.29,2.76,30.48,13.37,22.92,3.079,0.89,84.14,0.454,77.68,5,0.395,1,203.96
Grape,Sandy,114,266,30.61,50.1,0.5,0.39,17.24,3.44,17.0,7.94,12.32,7.113,0.85,69.44,0.899,81.45,11,0.536,1,666.48
Potato,Silt Loam,38,198,30.55,31.93,0.16,0.1,25.63,1.5,34.94,13.99,28.79,8.152,0.782,87.4,0.512,107.26,6,0.398,1,216.16
Apple,Loam,80,48,12.62,80.28,3.51,1.93,10.74,4.19,30.51,14.22,20.12,2.189,1.2,69.74,1.939,315.86,2,0.526,1,577.75
Apple,Silty Loam,91,91,18.09,49.38,0.27,0.2,10.24,1.4,36.15,14.1,33.93,3.076,1.2,67.49,1.712,377.5,4,0.542,0,0.0
Apple,Clay Loam,39,173,27.12,65.49,0.22,0.15,24.86,4.39,36.79,22.93,35.09,7.171,0.585,56.85,1.246,172.7,12,0.585,1,526.02
Potato,Sandy Loam,42,342,5.01,76.91,0.17,0.12,9.31,2.16,23.54,10.08,22.65,1.492,0.868,71.33,0.408,54.92,5,0.373,0,0.0
Apple,Loam,54,330,7.84,71.51,0.2,0.11,9.22,0.51,32.7,14.64,32.2,1.543,0.81,83.06,1.041,188.0,5,0.538,0,0.0
Tomato,Sandy Loam,71,51,12.44,63.33,0.15,0.08,8.6,3.92,21.33,9.19,19.07,2.712,1.15,80.52,1.3,157.82,8,0.385,0,0.0
